선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1687,메인기록,2023,삼성,6,6,5,1,0,0,0,1,0,0,0.200,0.200,0.333,0.200,0.533,0.274,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2019,삼성,53,61,56,10,2,2,2,5,22,0,0.250,0.179,0.246,0.357,0.603,0.267,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2021,삼성,24,31,28,5,0,0,0,1,11,0,0.294,0.179,0.258,0.250,0.508,0.244,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2020,삼성,25,26,22,3,0,0,0,4,9,0,0.231,0.136,0.269,0.136,0.405,0.217,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1687,기본기록,2023,삼성,6,6,5,1,0,0,0,1,0,0,,0.200,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2019,삼성,53,61,56,10,2,2,2,5,22,0,,0.179,,,,,,4,4,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2021,삼성,24,31,28,5,0,0,0,1,11,0,,0.179,,,,,,3,2,0,0,2,0,0,0,0,,,,,,,,,,,
1687,기본기록,2020,삼성,25,26,22,3,0,0,0,4,9,0,,0.136,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,세부기록,2023,삼성,,6,,,,,,,,,0.200,0.200,,,0.533,0.274,-,,,,,,,,,,16.7,0.0,-,0.000,-,0.42,2.84,0.37,1.81,0.01,-0.40
1687,세부기록,2019,삼성,,61,,,,,,,,,0.250,0.179,,,0.603,0.267,-,,,,,,,,,,8.2,36.1,0.23,0.178,28.00,5.24,3.07,3.40,1.81,0.03,-4.44
1687,세부기록,2021,삼성,,31,,,,,,,,,0.294,0.179,,,0.508,0.244,-,,,,,,,,,,3.2,35.5,0.09,0.071,-,2.01,2.36,1.09,1.81,0.02,-2.89
1687,세부기록,2020,삼성,,26,,,,,,,,,0.231,0.136,,,0.405,0.217,-,,,,,,,,,,15.4,34.6,0.44,0.000,-,1.09,1.55,0.28,1.81,0.02,-3.06
1687,세부기록,2024,삼성,,3,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.00,0.00,-0.56,-,0.00,-0.95
