선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
871,메인기록,2021,삼성,32,71,62,15,2,6,8,5,12,0,0.260,0.242,0.300,0.403,0.703,0.309,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2019,삼성,15,30,29,6,0,4,1,1,10,0,0.316,0.207,0.233,0.241,0.474,0.220,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2018,삼성,4,5,5,1,0,0,0,0,2,0,0.333,0.200,0.200,0.200,0.400,0.184,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2017,삼성,7,12,11,2,0,2,2,1,5,0,0.333,0.182,0.250,0.273,0.523,0.243,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2020,삼성,6,12,11,2,0,1,0,1,4,0,0.286,0.182,0.250,0.182,0.432,0.214,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2024,삼성,6,7,7,1,1,1,3,0,1,0,0.000,0.143,0.143,0.571,0.714,0.279,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
871,기본기록,2021,삼성,32,71,62,15,2,6,8,5,12,0,,0.242,,,,,,9,4,0,0,1,2,3,2,0,,,,,,,,,,,
871,기본기록,2019,삼성,15,30,29,6,0,4,1,1,10,0,,0.207,,,,,,5,1,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2018,삼성,4,5,5,1,0,0,0,0,2,0,,0.200,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,,,
871,기본기록,2017,삼성,7,12,11,2,0,2,2,1,5,0,,0.182,,,,,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2020,삼성,6,12,11,2,0,1,0,1,4,0,,0.182,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2024,삼성,6,7,7,1,1,1,3,0,1,0,,0.143,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,세부기록,2021,삼성,,71,,,,,,,,,0.260,0.242,,,0.703,0.309,-,,,,,,,,,,7.0,16.9,0.42,0.161,31.00,7.53,3.91,6.69,1.32,0.04,-2.43
871,세부기록,2019,삼성,,30,,,,,,,,,0.316,0.207,,,0.474,0.220,-,,,,,,,,,,3.3,33.3,0.10,0.034,-,1.69,1.99,0.38,4.67,0.02,-3.47
871,세부기록,2018,삼성,,5,,,,,,,,,0.333,0.200,,,0.400,0.184,-,,,,,,,,,,0.0,40.0,0.00,0.000,-,0.00,0.00,-0.10,-11.52,0.00,-0.74
871,세부기록,2017,삼성,,12,,,,,,,,,0.333,0.182,,,0.523,0.243,-,,,,,,,,,,8.3,41.7,0.20,0.091,-,0.82,2.45,0.40,5.15,0.01,-1.14
871,세부기록,2020,삼성,,12,,,,,,,,,0.286,0.182,,,0.432,0.214,-,,,,,,,,,,8.3,33.3,0.25,0.000,-,0.57,1.70,0.09,3.48,0.01,-1.45
871,세부기록,2024,삼성,,7,,,,,,,,,0.000,0.143,,,0.714,0.279,-,,,,,,,,,,0.0,14.3,0.00,0.428,7.00,0.57,2.57,0.47,-,0.00,-0.43
871,세부기록,2023,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
